ABCDEF
(0, ('A', 'B', 'C', 'D', 'E', 'F'))
(690, ('F', 'D', 'E', 'A', 'B', 'C'))
(89, ('A', 'E', 'D', 'F', 'C', 'B'))
(209, ('B', 'E', 'D', 'F', 'C', 'A'))
(329, ('C', 'E', 'D', 'F', 'B', 'A'))
(449, ('D', 'E', 'C', 'F', 'B', 'A'))
(569, ('E', 'D', 'C', 'F', 'B', 'A'))
(689, ('F', 'D', 'C', 'E', 'B', 'A'))
(88, ('A', 'E', 'D', 'F', 'B', 'C'))
(208, ('B', 'E', 'D', 'F', 'A', 'C'))
(328, ('C', 'E', 'D', 'F', 'A', 'B'))
(448, ('D', 'E', 'C', 'F', 'A', 'B'))
(568, ('E', 'D', 'C', 'F', 'A', 'B'))
(688, ('F', 'D', 'C', 'E', 'A', 'B'))
(87, ('A', 'E', 'D', 'C', 'F', 'B'))
(207, ('B', 'E', 'D', 'C', 'F', 'A'))
(327, ('C', 'E', 'D', 'B', 'F', 'A'))
(447, ('D', 'E', 'C', 'B', 'F', 'A'))
(567, ('E', 'D', 'C', 'B', 'F', 'A'))
(687, ('F', 'D', 'C', 'B', 'E', 'A'))
(86, ('A', 'E', 'D', 'C', 'B', 'F'))
(206, ('B', 'E', 'D', 'C', 'A', 'F'))
(326, ('C', 'E', 'D', 'B', 'A', 'F'))
(446, ('D', 'E', 'C', 'B', 'A', 'F'))
(566, ('E', 'D', 'C', 'B', 'A', 'F'))
(686, ('F', 'D', 'C', 'B', 'A', 'E'))
(85, ('A', 'E', 'D', 'B', 'F', 'C'))
(205, ('B', 'E', 'D', 'A', 'F', 'C'))
(325, ('C', 'E', 'D', 'A', 'F', 'B'))
(445, ('D', 'E', 'C', 'A', 'F', 'B'))
(565, ('E', 'D', 'C', 'A', 'F', 'B'))
(685, ('F', 'D', 'C', 'A', 'E', 'B'))
(84, ('A', 'E', 'D', 'B', 'C', 'F'))
(204, ('B', 'E', 'D', 'A', 'C', 'F'))
(324, ('C', 'E', 'D', 'A', 'B', 'F'))
(444, ('D', 'E', 'C', 'A', 'B', 'F'))
(564, ('E', 'D', 'C', 'A', 'B', 'F'))
(684, ('F', 'D', 'C', 'A', 'B', 'E'))
(83, ('A', 'E', 'C', 'F', 'D', 'B'))
(203, ('B', 'E', 'C', 'F', 'D', 'A'))
(323, ('C', 'E', 'B', 'F', 'D', 'A'))
(443, ('D', 'E', 'B', 'F', 'C', 'A'))
(563, ('E', 'D', 'B', 'F', 'C', 'A'))
(683, ('F', 'D', 'B', 'E', 'C', 'A'))
(82, ('A', 'E', 'C', 'F', 'B', 'D'))
(202, ('B', 'E', 'C', 'F', 'A', 'D'))
(322, ('C', 'E', 'B', 'F', 'A', 'D'))
(442, ('D', 'E', 'B', 'F', 'A', 'C'))
(562, ('E', 'D', 'B', 'F', 'A', 'C'))
(682, ('F', 'D', 'B', 'E', 'A', 'C'))
(81, ('A', 'E', 'C', 'D', 'F', 'B'))
(201, ('B', 'E', 'C', 'D', 'F', 'A'))
(321, ('C', 'E', 'B', 'D', 'F', 'A'))
(441, ('D', 'E', 'B', 'C', 'F', 'A'))
(561, ('E', 'D', 'B', 'C', 'F', 'A'))
(681, ('F', 'D', 'B', 'C', 'E', 'A'))
(80, ('A', 'E', 'C', 'D', 'B', 'F'))
(200, ('B', 'E', 'C', 'D', 'A', 'F'))
(320, ('C', 'E', 'B', 'D', 'A', 'F'))
(440, ('D', 'E', 'B', 'C', 'A', 'F'))
(560, ('E', 'D', 'B', 'C', 'A', 'F'))
(680, ('F', 'D', 'B', 'C', 'A', 'E'))
(79, ('A', 'E', 'C', 'B', 'F', 'D'))
(199, ('B', 'E', 'C', 'A', 'F', 'D'))
(319, ('C', 'E', 'B', 'A', 'F', 'D'))
(439, ('D', 'E', 'B', 'A', 'F', 'C'))
(559, ('E', 'D', 'B', 'A', 'F', 'C'))
(679, ('F', 'D', 'B', 'A', 'E', 'C'))
(78, ('A', 'E', 'C', 'B', 'D', 'F'))
(198, ('B', 'E', 'C', 'A', 'D', 'F'))
(318, ('C', 'E', 'B', 'A', 'D', 'F'))
(438, ('D', 'E', 'B', 'A', 'C', 'F'))
(558, ('E', 'D', 'B', 'A', 'C', 'F'))
(678, ('F', 'D', 'B', 'A', 'C', 'E'))
(77, ('A', 'E', 'B', 'F', 'D', 'C'))
(197, ('B', 'E', 'A', 'F', 'D', 'C'))
(317, ('C', 'E', 'A', 'F', 'D', 'B'))
(437, ('D', 'E', 'A', 'F', 'C', 'B'))
(557, ('E', 'D', 'A', 'F', 'C', 'B'))
(677, ('F', 'D', 'A', 'E', 'C', 'B'))
(76, ('A', 'E', 'B', 'F', 'C', 'D'))
(196, ('B', 'E', 'A', 'F', 'C', 'D'))
(316, ('C', 'E', 'A', 'F', 'B', 'D'))
(436, ('D', 'E', 'A', 'F', 'B', 'C'))
(556, ('E', 'D', 'A', 'F', 'B', 'C'))
(676, ('F', 'D', 'A', 'E', 'B', 'C'))
(75, ('A', 'E', 'B', 'D', 'F', 'C'))
(195, ('B', 'E', 'A', 'D', 'F', 'C'))
(315, ('C', 'E', 'A', 'D', 'F', 'B'))
(435, ('D', 'E', 'A', 'C', 'F', 'B'))
(555, ('E', 'D', 'A', 'C', 'F', 'B'))
(675, ('F', 'D', 'A', 'C', 'E', 'B'))
(74, ('A', 'E', 'B', 'D', 'C', 'F'))
(194, ('B', 'E', 'A', 'D', 'C', 'F'))
(314, ('C', 'E', 'A', 'D', 'B', 'F'))
(434, ('D', 'E', 'A', 'C', 'B', 'F'))
(554, ('E', 'D', 'A', 'C', 'B', 'F'))
(674, ('F', 'D', 'A', 'C', 'B', 'E'))
(73, ('A', 'E', 'B', 'C', 'F', 'D'))
(193, ('B', 'E', 'A', 'C', 'F', 'D'))
(313, ('C', 'E', 'A', 'B', 'F', 'D'))
(433, ('D', 'E', 'A', 'B', 'F', 'C'))
(553, ('E', 'D', 'A', 'B', 'F', 'C'))
(673, ('F', 'D', 'A', 'B', 'E', 'C'))
(72, ('A', 'E', 'B', 'C', 'D', 'F'))
(192, ('B', 'E', 'A', 'C', 'D', 'F'))
(312, ('C', 'E', 'A', 'B', 'D', 'F'))
(432, ('D', 'E', 'A', 'B', 'C', 'F'))
(552, ('E', 'D', 'A', 'B', 'C', 'F'))
(672, ('F', 'D', 'A', 'B', 'C', 'E'))
(71, ('A', 'D', 'F', 'E', 'C', 'B'))
(191, ('B', 'D', 'F', 'E', 'C', 'A'))
(311, ('C', 'D', 'F', 'E', 'B', 'A'))
(431, ('D', 'C', 'F', 'E', 'B', 'A'))
(551, ('E', 'C', 'F', 'D', 'B', 'A'))
(671, ('F', 'C', 'E', 'D', 'B', 'A'))
(70, ('A', 'D', 'F', 'E', 'B', 'C'))
(190, ('B', 'D', 'F', 'E', 'A', 'C'))
(310, ('C', 'D', 'F', 'E', 'A', 'B'))
(430, ('D', 'C', 'F', 'E', 'A', 'B'))
(550, ('E', 'C', 'F', 'D', 'A', 'B'))
(670, ('F', 'C', 'E', 'D', 'A', 'B'))
(69, ('A', 'D', 'F', 'C', 'E', 'B'))
(189, ('B', 'D', 'F', 'C', 'E', 'A'))
(309, ('C', 'D', 'F', 'B', 'E', 'A'))
(429, ('D', 'C', 'F', 'B', 'E', 'A'))
(549, ('E', 'C', 'F', 'B', 'D', 'A'))
(669, ('F', 'C', 'E', 'B', 'D', 'A'))
(68, ('A', 'D', 'F', 'C', 'B', 'E'))
(188, ('B', 'D', 'F', 'C', 'A', 'E'))
(308, ('C', 'D', 'F', 'B', 'A', 'E'))
(428, ('D', 'C', 'F', 'B', 'A', 'E'))
(548, ('E', 'C', 'F', 'B', 'A', 'D'))
(668, ('F', 'C', 'E', 'B', 'A', 'D'))
(67, ('A', 'D', 'F', 'B', 'E', 'C'))
(187, ('B', 'D', 'F', 'A', 'E', 'C'))
(307, ('C', 'D', 'F', 'A', 'E', 'B'))
(427, ('D', 'C', 'F', 'A', 'E', 'B'))
(547, ('E', 'C', 'F', 'A', 'D', 'B'))
(667, ('F', 'C', 'E', 'A', 'D', 'B'))
(66, ('A', 'D', 'F', 'B', 'C', 'E'))
(186, ('B', 'D', 'F', 'A', 'C', 'E'))
(306, ('C', 'D', 'F', 'A', 'B', 'E'))
(426, ('D', 'C', 'F', 'A', 'B', 'E'))
(546, ('E', 'C', 'F', 'A', 'B', 'D'))
(666, ('F', 'C', 'E', 'A', 'B', 'D'))
(65, ('A', 'D', 'E', 'F', 'C', 'B'))
(185, ('B', 'D', 'E', 'F', 'C', 'A'))
(305, ('C', 'D', 'E', 'F', 'B', 'A'))
(425, ('D', 'C', 'E', 'F', 'B', 'A'))
(545, ('E', 'C', 'D', 'F', 'B', 'A'))
(665, ('F', 'C', 'D', 'E', 'B', 'A'))
(64, ('A', 'D', 'E', 'F', 'B', 'C'))
(184, ('B', 'D', 'E', 'F', 'A', 'C'))
(304, ('C', 'D', 'E', 'F', 'A', 'B'))
(424, ('D', 'C', 'E', 'F', 'A', 'B'))
(544, ('E', 'C', 'D', 'F', 'A', 'B'))
(664, ('F', 'C', 'D', 'E', 'A', 'B'))
(63, ('A', 'D', 'E', 'C', 'F', 'B'))
(183, ('B', 'D', 'E', 'C', 'F', 'A'))
(303, ('C', 'D', 'E', 'B', 'F', 'A'))
(423, ('D', 'C', 'E', 'B', 'F', 'A'))
(543, ('E', 'C', 'D', 'B', 'F', 'A'))
(663, ('F', 'C', 'D', 'B', 'E', 'A'))
(62, ('A', 'D', 'E', 'C', 'B', 'F'))
(182, ('B', 'D', 'E', 'C', 'A', 'F'))
(302, ('C', 'D', 'E', 'B', 'A', 'F'))
(422, ('D', 'C', 'E', 'B', 'A', 'F'))
(542, ('E', 'C', 'D', 'B', 'A', 'F'))
(662, ('F', 'C', 'D', 'B', 'A', 'E'))
(61, ('A', 'D', 'E', 'B', 'F', 'C'))
(181, ('B', 'D', 'E', 'A', 'F', 'C'))
(301, ('C', 'D', 'E', 'A', 'F', 'B'))
(421, ('D', 'C', 'E', 'A', 'F', 'B'))
(541, ('E', 'C', 'D', 'A', 'F', 'B'))
(661, ('F', 'C', 'D', 'A', 'E', 'B'))
(60, ('A', 'D', 'E', 'B', 'C', 'F'))
(180, ('B', 'D', 'E', 'A', 'C', 'F'))
(300, ('C', 'D', 'E', 'A', 'B', 'F'))
(420, ('D', 'C', 'E', 'A', 'B', 'F'))
(540, ('E', 'C', 'D', 'A', 'B', 'F'))
(660, ('F', 'C', 'D', 'A', 'B', 'E'))
(59, ('A', 'D', 'C', 'F', 'E', 'B'))
(179, ('B', 'D', 'C', 'F', 'E', 'A'))
(299, ('C', 'D', 'B', 'F', 'E', 'A'))
(419, ('D', 'C', 'B', 'F', 'E', 'A'))
(539, ('E', 'C', 'B', 'F', 'D', 'A'))
(659, ('F', 'C', 'B', 'E', 'D', 'A'))
(58, ('A', 'D', 'C', 'F', 'B', 'E'))
(178, ('B', 'D', 'C', 'F', 'A', 'E'))
(298, ('C', 'D', 'B', 'F', 'A', 'E'))
(418, ('D', 'C', 'B', 'F', 'A', 'E'))
(538, ('E', 'C', 'B', 'F', 'A', 'D'))
(658, ('F', 'C', 'B', 'E', 'A', 'D'))
(57, ('A', 'D', 'C', 'E', 'F', 'B'))
(177, ('B', 'D', 'C', 'E', 'F', 'A'))
(297, ('C', 'D', 'B', 'E', 'F', 'A'))
(417, ('D', 'C', 'B', 'E', 'F', 'A'))
(537, ('E', 'C', 'B', 'D', 'F', 'A'))
(657, ('F', 'C', 'B', 'D', 'E', 'A'))
(56, ('A', 'D', 'C', 'E', 'B', 'F'))
(176, ('B', 'D', 'C', 'E', 'A', 'F'))
(296, ('C', 'D', 'B', 'E', 'A', 'F'))
(416, ('D', 'C', 'B', 'E', 'A', 'F'))
(536, ('E', 'C', 'B', 'D', 'A', 'F'))
(656, ('F', 'C', 'B', 'D', 'A', 'E'))
(55, ('A', 'D', 'C', 'B', 'F', 'E'))
(175, ('B', 'D', 'C', 'A', 'F', 'E'))
(295, ('C', 'D', 'B', 'A', 'F', 'E'))
(415, ('D', 'C', 'B', 'A', 'F', 'E'))
(535, ('E', 'C', 'B', 'A', 'F', 'D'))
(655, ('F', 'C', 'B', 'A', 'E', 'D'))
(54, ('A', 'D', 'C', 'B', 'E', 'F'))
(174, ('B', 'D', 'C', 'A', 'E', 'F'))
(294, ('C', 'D', 'B', 'A', 'E', 'F'))
(414, ('D', 'C', 'B', 'A', 'E', 'F'))
(534, ('E', 'C', 'B', 'A', 'D', 'F'))
(654, ('F', 'C', 'B', 'A', 'D', 'E'))
(53, ('A', 'D', 'B', 'F', 'E', 'C'))
(173, ('B', 'D', 'A', 'F', 'E', 'C'))
(293, ('C', 'D', 'A', 'F', 'E', 'B'))
(413, ('D', 'C', 'A', 'F', 'E', 'B'))
(533, ('E', 'C', 'A', 'F', 'D', 'B'))
(653, ('F', 'C', 'A', 'E', 'D', 'B'))
(52, ('A', 'D', 'B', 'F', 'C', 'E'))
(172, ('B', 'D', 'A', 'F', 'C', 'E'))
(292, ('C', 'D', 'A', 'F', 'B', 'E'))
(412, ('D', 'C', 'A', 'F', 'B', 'E'))
(532, ('E', 'C', 'A', 'F', 'B', 'D'))
(652, ('F', 'C', 'A', 'E', 'B', 'D'))
(51, ('A', 'D', 'B', 'E', 'F', 'C'))
(171, ('B', 'D', 'A', 'E', 'F', 'C'))
(291, ('C', 'D', 'A', 'E', 'F', 'B'))
(411, ('D', 'C', 'A', 'E', 'F', 'B'))
(531, ('E', 'C', 'A', 'D', 'F', 'B'))
(651, ('F', 'C', 'A', 'D', 'E', 'B'))
(50, ('A', 'D', 'B', 'E', 'C', 'F'))
(170, ('B', 'D', 'A', 'E', 'C', 'F'))
(290, ('C', 'D', 'A', 'E', 'B', 'F'))
(410, ('D', 'C', 'A', 'E', 'B', 'F'))
(530, ('E', 'C', 'A', 'D', 'B', 'F'))
(650, ('F', 'C', 'A', 'D', 'B', 'E'))
(49, ('A', 'D', 'B', 'C', 'F', 'E'))
(169, ('B', 'D', 'A', 'C', 'F', 'E'))
(289, ('C', 'D', 'A', 'B', 'F', 'E'))
(409, ('D', 'C', 'A', 'B', 'F', 'E'))
(529, ('E', 'C', 'A', 'B', 'F', 'D'))
(649, ('F', 'C', 'A', 'B', 'E', 'D'))
(48, ('A', 'D', 'B', 'C', 'E', 'F'))
(168, ('B', 'D', 'A', 'C', 'E', 'F'))
(288, ('C', 'D', 'A', 'B', 'E', 'F'))
(408, ('D', 'C', 'A', 'B', 'E', 'F'))
(528, ('E', 'C', 'A', 'B', 'D', 'F'))
(648, ('F', 'C', 'A', 'B', 'D', 'E'))
(47, ('A', 'C', 'F', 'E', 'D', 'B'))
(167, ('B', 'C', 'F', 'E', 'D', 'A'))
(287, ('C', 'B', 'F', 'E', 'D', 'A'))
(407, ('D', 'B', 'F', 'E', 'C', 'A'))
(527, ('E', 'B', 'F', 'D', 'C', 'A'))
(647, ('F', 'B', 'E', 'D', 'C', 'A'))
(46, ('A', 'C', 'F', 'E', 'B', 'D'))
(166, ('B', 'C', 'F', 'E', 'A', 'D'))
(286, ('C', 'B', 'F', 'E', 'A', 'D'))
(406, ('D', 'B', 'F', 'E', 'A', 'C'))
(526, ('E', 'B', 'F', 'D', 'A', 'C'))
(646, ('F', 'B', 'E', 'D', 'A', 'C'))
(45, ('A', 'C', 'F', 'D', 'E', 'B'))
(165, ('B', 'C', 'F', 'D', 'E', 'A'))
(285, ('C', 'B', 'F', 'D', 'E', 'A'))
(405, ('D', 'B', 'F', 'C', 'E', 'A'))
(525, ('E', 'B', 'F', 'C', 'D', 'A'))
(645, ('F', 'B', 'E', 'C', 'D', 'A'))
(44, ('A', 'C', 'F', 'D', 'B', 'E'))
(164, ('B', 'C', 'F', 'D', 'A', 'E'))
(284, ('C', 'B', 'F', 'D', 'A', 'E'))
(404, ('D', 'B', 'F', 'C', 'A', 'E'))
(524, ('E', 'B', 'F', 'C', 'A', 'D'))
(644, ('F', 'B', 'E', 'C', 'A', 'D'))
(43, ('A', 'C', 'F', 'B', 'E', 'D'))
(163, ('B', 'C', 'F', 'A', 'E', 'D'))
(283, ('C', 'B', 'F', 'A', 'E', 'D'))
(403, ('D', 'B', 'F', 'A', 'E', 'C'))
(523, ('E', 'B', 'F', 'A', 'D', 'C'))
(643, ('F', 'B', 'E', 'A', 'D', 'C'))
(42, ('A', 'C', 'F', 'B', 'D', 'E'))
(162, ('B', 'C', 'F', 'A', 'D', 'E'))
(282, ('C', 'B', 'F', 'A', 'D', 'E'))
(402, ('D', 'B', 'F', 'A', 'C', 'E'))
(522, ('E', 'B', 'F', 'A', 'C', 'D'))
(642, ('F', 'B', 'E', 'A', 'C', 'D'))
(41, ('A', 'C', 'E', 'F', 'D', 'B'))
(161, ('B', 'C', 'E', 'F', 'D', 'A'))
(281, ('C', 'B', 'E', 'F', 'D', 'A'))
(401, ('D', 'B', 'E', 'F', 'C', 'A'))
(521, ('E', 'B', 'D', 'F', 'C', 'A'))
(641, ('F', 'B', 'D', 'E', 'C', 'A'))
(40, ('A', 'C', 'E', 'F', 'B', 'D'))
